"Date: 2024-05-18+0000"
"Version: 7.1"
"Status: 
0 Normal
1 Completed
2 Archived"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId"
"","MacBrooks Incomplete✅","Activate btt [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","If not needed go with the cheaper option of magnet","N","","","","","0","2","2023-11-19T12:24:54+0000","2024-05-18T06:11:34+0000","1","America/Chicago","false","false",,,"list","23",""
"","MacBrooks Incomplete✅","Photo editing freeware [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","CapCut ","N","","","","","0","2","2023-11-19T12:26:25+0000","2024-05-18T06:11:34+0000","549755813888","America/Chicago","false","false",,,"list","24",""
"","MacBrooks Incomplete✅","Digital and audio music capability [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:26:45+0000","","1099511627776","America/Chicago","false","false","Not Sectioned","0","list","25",""
"","MacBrooks Incomplete✅","Ableton finish install [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","Consider dramatically lessening the contents of the default suite libraryGonna need a windows machine handy to run keygen.exe","N","","","","","0","2","2023-11-19T12:27:39+0000","2024-05-18T06:11:34+0000","1649267441664","America/Chicago","false","false",,,"list","26",""
"","MacBrooks Incomplete✅","Data redundancy and anti-pain in the ass practical stuff [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:28:48+0000","","2199023255552","America/Chicago","false","false","Not Sectioned","0","list","27",""
"","MacBrooks Incomplete✅","Physical backup protocol to prepare for the worst [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:29:08+0000","","2748779069440","America/Chicago","false","false","Not Sectioned","0","list","28",""
"","MacBrooks Incomplete✅","Unfortunately a must after a while [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-19T12:31:08+0000","2024-05-18T06:11:35+0000","3298534883328","America/Chicago","false","false",,,"list","29",""
"","MacBrooks Incomplete✅","Bartender [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","2","2023-11-19T12:30:58+0000","2024-05-18T06:11:35+0000","3848290697216","America/Chicago","false","false",,,"list","30",""
"","MacBrooks Incomplete✅","Rename dusty home folder? [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:31:37+0000","","4398046511104","America/Chicago","false","false","Not Sectioned","0","list","31",""
"","MacBrooks Incomplete✅","Screen recordings folder [MacBrooks Incomplete✅.md](obsidian://open?vault=Kipp's%20Vault&file=MacBrooks%20Incomplete%E2%9C%85.md)","TEXT","ticktick","","N","","","","","0","0","2023-11-19T12:33:27+0000","","4947802324992","America/Chicago","false","false","Not Sectioned","0","list","32",""
